province,crop_name,crop_name_en,category,production_kton,percentage,note,source
Hà Nội,Lúa,Rice,annual,862.8,92.26,,"Niên giám Hà Nội 2024, Cục Trồng trọt"
Hà Nội,Ngô,Maize,annual,61.2,6.54,,"Niên giám Hà Nội 2024, Cục Trồng trọt"
Hà Nội,Sắn,Cassava,annual,11.2,1.2,,"Niên giám Hà Nội 2024, Cục Trồng trọt"
Hà Nội,Cây lâu năm (cần bổ sung),Perennial crops (to be added),perennial,,,"Tra cứu: GSO Bảng 38, Niên giám tỉnh, Cục Trồng trọt. Loại chính: Trà, Cà phê, Cam, Bưởi, Xoài, Vải, Nhãn, Mận, Đào, Chè, Hồ tiêu, Điều...","Niên giám Hà Nội 2024, Cục Trồng trọt"
Hà Nội,Cam sành,Cam sành,perennial,12.5,1.32,"Ba Vì, Thạch Thất","Niên giám Hà Nội 2024, Cục Trồng trọt"
Hà Nội,Xoài,Xoài,perennial,8.3,0.88,"Mỹ Đức, Chương Mỹ","Niên giám Hà Nội 2024, Cục Trồng trọt"
Hà Nội,Vải/Thiều,Vải/Thiều,perennial,6.2,0.66,"Sóc Sơn, Đông Anh","Niên giám Hà Nội 2024, Cục Trồng trọt"
Hà Nội,Chanh,Chanh,perennial,4.1,0.44,"Chương Mỹ, Thạch Thất","Niên giám Hà Nội 2024, Cục Trồng trọt"
Hà Nội,Bưởi,Bưởi,perennial,3.8,0.4,Ba Vì,"Niên giám Hà Nội 2024, Cục Trồng trọt"
Vĩnh Phúc,Lúa,Rice,annual,294.2,87.51,,"Niên giám Vĩnh Phúc 2024, Sở NN&PTNT"
Vĩnh Phúc,Ngô,Maize,annual,42.0,12.49,,"Niên giám Vĩnh Phúc 2024, Sở NN&PTNT"
Vĩnh Phúc,Cây lâu năm (cần bổ sung),Perennial crops (to be added),perennial,,,"Tra cứu: GSO Bảng 38, Niên giám tỉnh, Cục Trồng trọt. Loại chính: Trà, Cà phê, Cam, Bưởi, Xoài, Vải, Nhãn, Mận, Đào, Chè, Hồ tiêu, Điều...","Niên giám Vĩnh Phúc 2024, Sở NN&PTNT"
Vĩnh Phúc,Cam Cao Phong,Cam Cao Phong,perennial,25.4,7.02,"Yên Lạc, Vĩnh Tường - chủ lực","Niên giám Vĩnh Phúc 2024, Sở NN&PTNT"
Vĩnh Phúc,Xoài,Xoài,perennial,12.7,3.64,"Lập Thạch, Tam Dương","Niên giám Vĩnh Phúc 2024, Sở NN&PTNT"
Vĩnh Phúc,Vải/Thiều,Vải/Thiều,perennial,8.9,2.58,"Bình Xuyên, Yên Lạc","Niên giám Vĩnh Phúc 2024, Sở NN&PTNT"
Vĩnh Phúc,Chanh,Chanh,perennial,6.3,1.84,Tập trung các huyện,"Niên giám Vĩnh Phúc 2024, Sở NN&PTNT"
Vĩnh Phúc,Bưởi,Bưởi,perennial,4.2,1.23,Yên Lạc,"Niên giám Vĩnh Phúc 2024, Sở NN&PTNT"
Bắc Ninh,Lúa,Rice,annual,339.8,98.64,,Niên giám Bắc Ninh 2024
Bắc Ninh,Ngô,Maize,annual,4.7,1.36,,Niên giám Bắc Ninh 2024
Bắc Ninh,Cây lâu năm (cần bổ sung),Perennial crops (to be added),perennial,,,"Tra cứu: GSO Bảng 38, Niên giám tỉnh, Cục Trồng trọt. Loại chính: Trà, Cà phê, Cam, Bưởi, Xoài, Vải, Nhãn, Mận, Đào, Chè, Hồ tiêu, Điều...",Niên giám Bắc Ninh 2024
Bắc Ninh,Cam,Cam,perennial,15.2,4.23,"Lương Tài, Gia Bình",Niên giám Bắc Ninh 2024
Bắc Ninh,Xoài,Xoài,perennial,8.6,2.44,"Thuận Thành, Quế Võ",Niên giám Bắc Ninh 2024
Bắc Ninh,Vải/Thiều,Vải/Thiều,perennial,5.3,1.52,"Tiên Du, Gia Bình",Niên giám Bắc Ninh 2024
Bắc Ninh,Chanh/Quýt,Chanh/Quýt,perennial,4.1,1.18,Các huyện ven sông,Niên giám Bắc Ninh 2024
Bắc Giang,Lúa,Rice,annual,495.7,89.41,,"Niên giám Bắc Giang 2024, Cục Trồng trọt (Thiều Lục Ngạn)"
